course,course_name,course_number,description,credit_hours
ARTH 591,Individual Readings,591,Directed readings in special fields or aspects of history of art not provided in depth by the current course offerings. Registration allowed for each section is 2 to 4 hours. Prerequisite: Consent of instructor.,2 TO 4 hours.
ARTH 599,Thesis Research,599,Guidance in research and writing theses for advanced degrees. Approved for S/U grading only. May be repeated. Prerequisite: Graduate standing in art history.,0 TO 16 hours.
ARTS 391,Independent Study,391,"Directed independent creative activity or research. Additional fees may apply. See Class Schedule. May be repeated to a maximum of 6 hours. Prerequisite: Junior standing in Art and Design; and consent of instructor, advisor, and associate director of the School.  For Art majors only.",1 TO 4 hours.
ARTS 399,Internship in Studio Arts,399,Internships to be pre-approved for variable credit. Students will be required to document work completed during the internship with verification of supervisor. Supervisor will also be required to fill out a questionnaire either by mail or on-line. Faculty members will access work and questionnaires to assign a grade. Approved for S/U grading only. May be repeated if topics vary to a maximum of 4 hours. Prerequisite: Junior standing in School of Art and Design.,1 TO 4 hours.
ARTS 490,Senior Honors,490,"Independent creative activity, guided study, or research for honors. 2 to 5 undergraduate hours. No graduate credit. May be repeated to a maximum of 5 hours. Prerequisite: Senior standing in Art & Design, a cumulative grade point average of 3.0; and consent of instructor, advisor, and associate director of the School. For Art majors only.",2 TO 5 hours.
ARTS 591,Graduate Studio,591,"Directed individual creative activity or research. Additional fees may apply. See Class Schedule. 1 to 8 graduate hours. No professional credit. May be repeated if topics vary, in the same semester up to 10 hours; in separate semesters to a maximum of 20 hours. Prerequisite: Graduate standing. For Art majors only.",1 TO 8 hours.
ARTS 593,Seminar: Methods Criticism,593,Prerequisite: Graduate standing in art.,1 TO 4 hours.
ARTS 595,Graduate Laboratory,595,Individually directed research and personal. Additional fees may apply. See Class Schedule. Prerequisite: Enrollment in the MFA program in Art & Design or consent of departmental graduate committee. For Art majors only.,4 TO 12 hours.
ASRM 450,Methods of Applied Statistics,450,"Systematic, calculus-based coverage of the more widely used methods of applied statistics, including simple and multiple regression, correlation, analysis of variance and covariance, multiple comparisons, goodness of fit tests, contingency tables, nonparametric procedures, and power of tests; emphasizes when and why various tests are appropriate and how they are used. Same as STAT 420. 3 undergraduate hours. 4 graduate hours. Prerequisite: STAT 408 or STAT 400; MATH 231 or equivalent; knowledge of basic matrix manipulations; or consent of instructor.",3 OR 4 hours.
ASRM 490,Actuarial Research,490,Guided research on actuarial topics. 1 to 4 undergraduate hours. 1 to 4 graduate hours. Approved for Letter and S/U grading. May be repeated in separate terms. Prerequisite: ASRM 390 or consent of instructor.,1 TO 4 hours.
ASST 199,Undergraduate Open Seminar,199,May be repeated.,1 TO 5 hours.
ASST 390,Individual Study,390,"Directed readings in the languages and literatures of South Asia, Southeast Asia, or the Near East. The area selected depends on the student's interest. Prerequisite: Consent of instructor.",2 TO 4 hours.
ASST 590,Individual Study and Research,590,Supervised individual investigation or study of a topic not covered by regular course offerings. The topic selected by the student and the proposed plan of study must be approved by the student's adviser and the instructor who supervises the work. Approved for both letter and S/U grading. May be repeated. Prerequisite: Consent of instructor.,2 TO 12 hours.
ASTR 199,Undergraduate Open Seminar,199,"See course schedule for topics. Approved for Letter and S/U grading. May be repeated in the same term up to 5 hours or separate terms up to 8 hours, if topics vary.",0 TO 5 hours.
ASTR 390,Individual Study,390,Individual study at an advanced undergraduate level. May be repeated in separate terms to a maximum of 8 hours. Prerequisite: Consent of advisor and of faculty member who supervises the work.,0 TO 4 hours.
ASTR 590,Individual Study,590,Individual study or non-thesis research. May be repeated. Prerequisite: Consent of adviser and of faculty member who supervises the work.,2 TO 16 hours.
ASTR 599,Thesis Research,599,Approved for S/U grading only. May be repeated.,0 TO 16 hours.
ATMS 140,Climate and Global Change,140,"Introduces climate change and its interactions with the global environment; surveys the physical, chemical, biological and social factors contributing to global change; includes topics such as greenhouse warming, acid rain, ozone depletion, distinguishes anthropogenic influences and natural variability of the earth system; addresses societal impacts, mitigation strategies, policy options and other human responses to global change. Same as ESE 140.",3 hours.
ATMS 199,Undergraduate Open Seminar,199,Special topics each term. May be repeated.,1 TO 5 hours.
ATMS 490,Individual Study,490,Individual study or reading at an advanced undergraduate level in a subject not covered in normal course offerings. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated to a maximum of 8 hours. May not be used to satisfy requirements for an M.S. or Ph.D. degree in Atmospheric Sciences. Prerequisite: Consent of advisor and of staff member supervising work.,1 TO 4 hours.
ATMS 590,Individual Study,590,Individual study or reading in a subject not covered in normal course offerings. 1 to 4 graduate hours. No professional credit. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.,1 TO 4 hours.
ATMS 599,Thesis Research,599,Check with the department to identify which CRN is needed for your advisor and any related registration questions. Approved for S/U grading only. Prerequisite: Consent of instructor.,0 TO 16 hours.
BADM 199,Undergraduate Open Seminar,199,May be repeated.,1 TO 5 hours.
BADM 311,Leading Individuals and Teams,311,Understanding the behavior of employees in work organizations; particular attention to the motivation of individuals to join and perform in organizations and to employee satisfaction with elements of the work environment; and emphasis on various management strategies to modify employee motivation and satisfaction. Prerequisite: BADM 310.,3 hours.
BADM 340,Ethical Dilemmas of Business,340,Examines business decision making and the role ethics plays in that process. Analysis of how managers behave and whether ethical choices are knowingly made or only realized thereafter. The object is to increase awareness of the moral dimension of business activity.,3 hours.
